po_id,supplier_id,sku_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,unit_cost,status
PO-000023,SUP-01,SKU-00015,WH-QLD,2025-07-03,2025-07-07,2025-07-07,88.0,88.0,2.27,Received
PO-000024,SUP-04,SKU-00005,WH-VIC,2025-07-03,2025-07-21,2025-07-21,58.0,44.0,2.29,Received
PO-000025,SUP-06,SKU-00019,WH-VIC,2025-07-03,2025-07-07,2025-07-06,152.0,152.0,5.36,Received
PO-000026,SUP-02,SKU-00024,WH-VIC,2025-07-03,2025-07-13,2025-07-13,355.0,355.0,1.36,Received
PO-000027,SUP-06,SKU-00003,WH-WA,2025-07-03,2025-07-07,2025-07-07,69.0,69.0,5.99,Received
PO-000028,SUP-07,SKU-00012,WH-WA,2025-07-03,2025-07-11,2025-07-10,63.0,63.0,2.93,Received
PO-000029,SUP-06,SKU-00009,WH-NSW,2025-07-04,2025-07-08,2025-07-08,193.0,193.0,4.65,Received
PO-000030,SUP-07,SKU-00012,WH-NSW,2025-07-04,2025-07-12,2025-07-12,62.0,62.0,2.93,Received
PO-000031,SUP-07,SKU-00022,WH-NSW,2025-07-04,2025-07-12,2025-07-12,176.0,176.0,3.85,Received
PO-000032,SUP-06,SKU-00003,WH-QLD,2025-07-04,2025-07-08,2025-07-08,86.0,86.0,5.99,Received
PO-000033,SUP-03,SKU-00010,WH-VIC,2025-07-04,2025-07-23,2025-07-24,296.0,296.0,4.29,Late
PO-000034,SUP-07,SKU-00006,WH-WA,2025-07-04,2025-07-12,2025-07-11,101.0,101.0,4.07,Received
PO-000035,SUP-05,SKU-00023,WH-WA,2025-07-04,2025-07-13,2025-07-15,83.0,83.0,2.48,Late
PO-000036,SUP-04,SKU-00005,WH-NSW,2025-07-05,2025-07-23,2025-07-23,52.0,52.0,2.29,Received
PO-000037,SUP-02,SKU-00008,WH-NSW,2025-07-05,2025-07-15,2025-07-15,183.0,183.0,1.67,Received
PO-000038,SUP-02,SKU-00018,WH-QLD,2025-07-05,2025-07-15,2025-07-15,282.0,282.0,2.32,Received
PO-000039,SUP-07,SKU-00006,WH-VIC,2025-07-05,2025-07-13,2025-07-12,79.0,79.0,4.07,Received
PO-000040,SUP-01,SKU-00015,WH-VIC,2025-07-05,2025-07-09,2025-07-11,245.0,245.0,2.27,Late
PO-000041,SUP-06,SKU-00009,WH-WA,2025-07-05,2025-07-09,2025-07-09,135.0,135.0,4.65,Received
PO-000042,SUP-07,SKU-00020,WH-WA,2025-07-05,2025-07-25,2025-07-24,119.0,119.0,5.2,Received
PO-000043,SUP-07,SKU-00006,WH-NSW,2025-07-06,2025-07-14,2025-07-15,111.0,111.0,4.07,Late
PO-000044,SUP-04,SKU-00005,WH-QLD,2025-07-06,2025-07-24,2025-07-24,126.0,126.0,2.29,Received
PO-000045,SUP-02,SKU-00014,WH-VIC,2025-07-06,2025-07-16,2025-07-16,255.0,255.0,4.12,Received
PO-000046,SUP-02,SKU-00016,WH-VIC,2025-07-06,2025-07-25,2025-07-25,88.0,88.0,2.03,Received
PO-000047,SUP-02,SKU-00014,WH-WA,2025-07-06,2025-07-16,2025-07-16,144.0,144.0,4.12,Received
PO-000048,SUP-05,SKU-00007,WH-NSW,2025-07-07,2025-07-16,2025-07-16,232.0,232.0,2.62,Received
PO-000049,SUP-02,SKU-00018,WH-NSW,2025-07-07,2025-07-17,2025-07-17,235.0,235.0,2.32,Received
PO-000050,SUP-06,SKU-00003,WH-VIC,2025-07-07,2025-07-11,2025-07-11,215.0,215.0,5.99,Received
PO-000051,SUP-04,SKU-00021,WH-VIC,2025-07-07,2025-07-25,2025-07-26,142.0,142.0,2.1,Late
PO-000052,SUP-05,SKU-00007,WH-WA,2025-07-07,2025-07-16,2025-07-18,119.0,119.0,2.62,Late
PO-000053,SUP-06,SKU-00019,WH-WA,2025-07-07,2025-07-11,2025-07-11,57.0,57.0,5.36,Received
PO-000054,SUP-06,SKU-00003,WH-NSW,2025-07-08,2025-07-12,2025-07-11,240.0,240.0,5.99,Received
PO-000055,SUP-01,SKU-00015,WH-NSW,2025-07-08,2025-07-12,2025-07-12,149.0,149.0,2.27,Received
PO-000056,SUP-07,SKU-00020,WH-QLD,2025-07-08,2025-07-28,2025-07-27,274.0,274.0,5.2,Received
PO-000057,SUP-07,SKU-00022,WH-QLD,2025-07-08,2025-07-16,2025-07-18,55.0,55.0,3.85,Late
PO-000058,SUP-02,SKU-00008,WH-VIC,2025-07-08,2025-07-18,2025-07-17,337.0,337.0,1.67,Received
PO-000059,SUP-07,SKU-00022,WH-WA,2025-07-08,2025-07-16,2025-07-19,67.0,67.0,3.85,Late
PO-000060,SUP-06,SKU-00009,WH-NSW,2025-07-09,2025-07-13,2025-07-14,194.0,194.0,4.65,Late
PO-000061,SUP-05,SKU-00017,WH-NSW,2025-07-09,2025-07-18,2025-07-18,153.0,153.0,1.83,Received
PO-000062,SUP-06,SKU-00019,WH-NSW,2025-07-09,2025-07-13,2025-07-13,202.0,202.0,5.36,Received
PO-000063,SUP-07,SKU-00006,WH-QLD,2025-07-09,2025-07-17,2025-07-19,155.0,155.0,4.07,Late
PO-000064,SUP-06,SKU-00019,WH-QLD,2025-07-09,2025-07-13,2025-07-13,246.0,246.0,5.36,Received
PO-000065,SUP-01,SKU-00015,WH-WA,2025-07-09,2025-07-13,2025-07-13,87.0,87.0,2.27,Received
PO-000066,SUP-02,SKU-00018,WH-WA,2025-07-09,2025-07-19,2025-07-19,224.0,224.0,2.32,Received
PO-000067,SUP-02,SKU-00002,WH-NSW,2025-07-10,2025-07-20,2025-07-20,342.0,342.0,2.21,Received
PO-000068,SUP-02,SKU-00014,WH-NSW,2025-07-10,2025-07-20,2025-07-20,345.0,345.0,4.12,Received
PO-000069,SUP-07,SKU-00012,WH-QLD,2025-07-10,2025-07-18,2025-07-22,97.0,97.0,2.93,Late
PO-000070,SUP-01,SKU-00015,WH-QLD,2025-07-10,2025-07-14,2025-07-15,94.0,94.0,2.27,Late
PO-000071,SUP-02,SKU-00002,WH-VIC,2025-07-10,2025-07-20,2025-07-20,431.0,431.0,2.21,Received
PO-000072,SUP-06,SKU-00009,WH-VIC,2025-07-10,2025-07-14,2025-07-14,97.0,97.0,4.65,Received
PO-000073,SUP-01,SKU-00015,WH-VIC,2025-07-10,2025-07-14,2025-07-13,223.0,223.0,2.27,Received
PO-000074,SUP-07,SKU-00022,WH-VIC,2025-07-10,2025-07-18,2025-07-18,86.0,86.0,3.85,Received
PO-000075,SUP-02,SKU-00002,WH-WA,2025-07-10,2025-07-20,2025-07-21,62.0,62.0,2.21,Late
PO-000076,SUP-06,SKU-00003,WH-WA,2025-07-10,2025-07-14,2025-07-14,64.0,64.0,5.99,Received
PO-000077,SUP-07,SKU-00006,WH-WA,2025-07-10,2025-07-18,2025-07-20,80.0,80.0,4.07,Late
PO-000078,SUP-03,SKU-00010,WH-WA,2025-07-10,2025-07-29,2025-07-29,138.0,138.0,4.29,Received
PO-000079,SUP-04,SKU-00021,WH-WA,2025-07-10,2025-07-28,2025-08-01,114.0,114.0,2.1,Late
PO-000080,SUP-04,SKU-00011,WH-NSW,2025-07-11,2025-07-29,2025-07-29,105.0,105.0,5.92,Received
PO-000081,SUP-06,SKU-00003,WH-QLD,2025-07-11,2025-07-15,2025-07-15,108.0,108.0,5.99,Received
PO-000082,SUP-02,SKU-00008,WH-QLD,2025-07-11,2025-07-21,2025-07-21,454.0,454.0,1.67,Received
PO-000083,SUP-06,SKU-00009,WH-QLD,2025-07-11,2025-07-15,2025-07-15,95.0,95.0,4.65,Received
PO-000084,SUP-05,SKU-00017,WH-QLD,2025-07-11,2025-07-20,2025-07-21,353.0,353.0,1.83,Late
PO-000085,SUP-04,SKU-00021,WH-QLD,2025-07-11,2025-07-29,2025-07-27,126.0,126.0,2.1,Received
PO-000086,SUP-02,SKU-00004,WH-VIC,2025-07-11,2025-07-30,2025-07-31,294.0,294.0,5.29,Late
PO-000087,SUP-06,SKU-00019,WH-VIC,2025-07-11,2025-07-15,2025-07-15,244.0,244.0,5.36,Received
PO-000088,SUP-04,SKU-00005,WH-WA,2025-07-11,2025-07-29,2025-07-28,66.0,66.0,2.29,Received
PO-000089,SUP-07,SKU-00012,WH-WA,2025-07-11,2025-07-19,2025-07-20,62.0,62.0,2.93,Late
PO-000090,SUP-03,SKU-00010,WH-NSW,2025-07-12,2025-07-31,2025-07-30,158.0,158.0,4.29,Received
PO-000091,SUP-05,SKU-00013,WH-NSW,2025-07-12,2025-07-21,2025-07-20,155.0,155.0,2.42,Received
PO-000092,SUP-07,SKU-00022,WH-NSW,2025-07-12,2025-07-20,2025-07-20,164.0,164.0,3.85,Received
PO-000093,SUP-02,SKU-00002,WH-QLD,2025-07-12,2025-07-22,2025-07-22,261.0,261.0,2.21,Received
PO-000094,SUP-04,SKU-00011,WH-QLD,2025-07-12,2025-07-30,2025-07-28,84.0,84.0,5.92,Received
PO-000095,SUP-02,SKU-00016,WH-QLD,2025-07-12,2025-07-31,2025-07-31,259.0,259.0,2.03,Received
PO-000096,SUP-05,SKU-00023,WH-QLD,2025-07-12,2025-07-21,2025-07-21,341.0,341.0,2.48,Received
PO-000097,SUP-06,SKU-00009,WH-WA,2025-07-12,2025-07-16,2025-07-16,123.0,123.0,4.65,Received
PO-000098,SUP-05,SKU-00013,WH-WA,2025-07-12,2025-07-21,2025-07-19,239.0,239.0,2.42,Received
PO-000099,SUP-02,SKU-00004,WH-NSW,2025-07-13,2025-08-01,2025-08-01,90.0,90.0,5.29,Received
PO-000100,SUP-07,SKU-00006,WH-NSW,2025-07-13,2025-07-21,2025-07-22,111.0,111.0,4.07,Late
PO-000101,SUP-01,SKU-00015,WH-NSW,2025-07-13,2025-07-17,2025-07-17,129.0,129.0,2.27,Received
PO-000102,SUP-04,SKU-00021,WH-NSW,2025-07-13,2025-07-31,2025-07-30,52.0,39.0,2.1,Received
PO-000103,SUP-02,SKU-00024,WH-NSW,2025-07-13,2025-07-23,2025-07-23,219.0,219.0,1.36,Received
PO-000104,SUP-07,SKU-00006,WH-VIC,2025-07-13,2025-07-21,2025-07-21,76.0,76.0,4.07,Received
PO-000105,SUP-05,SKU-00007,WH-VIC,2025-07-13,2025-07-22,2025-07-23,311.0,311.0,2.62,Late
PO-000106,SUP-07,SKU-00020,WH-VIC,2025-07-13,2025-08-02,2025-08-03,263.0,263.0,5.2,Late
PO-000107,SUP-02,SKU-00004,WH-WA,2025-07-13,2025-08-01,2025-08-01,70.0,70.0,5.29,Received
PO-000108,SUP-02,SKU-00024,WH-WA,2025-07-13,2025-07-23,2025-07-23,69.0,69.0,1.36,Received
PO-000109,SUP-06,SKU-00003,WH-NSW,2025-07-14,2025-07-18,2025-07-19,177.0,177.0,5.99,Late
PO-000110,SUP-07,SKU-00020,WH-NSW,2025-07-14,2025-08-03,2025-08-01,242.0,242.0,5.2,Received
PO-000111,SUP-05,SKU-00007,WH-QLD,2025-07-14,2025-07-23,2025-07-23,379.0,379.0,2.62,Received
PO-000112,SUP-05,SKU-00001,WH-VIC,2025-07-14,2025-07-23,2025-07-23,275.0,275.0,1.57,Received
PO-000113,SUP-06,SKU-00003,WH-VIC,2025-07-14,2025-07-18,2025-07-18,185.0,185.0,5.99,Received
PO-000114,SUP-02,SKU-00018,WH-VIC,2025-07-14,2025-07-24,2025-07-23,412.0,412.0,2.32,Received
PO-000115,SUP-05,SKU-00001,WH-NSW,2025-07-15,2025-07-24,2025-07-23,136.0,136.0,1.57,Received
PO-000116,SUP-06,SKU-00009,WH-NSW,2025-07-15,2025-07-19,2025-07-18,162.0,162.0,4.65,Received
PO-000117,SUP-02,SKU-00016,WH-NSW,2025-07-15,2025-08-03,2025-08-03,81.0,81.0,2.03,Received
PO-000118,SUP-05,SKU-00001,WH-QLD,2025-07-15,2025-07-24,2025-07-26,232.0,191.0,1.57,Late
PO-000119,SUP-05,SKU-00013,WH-QLD,2025-07-15,2025-07-24,2025-07-23,420.0,420.0,2.42,Received
PO-000120,SUP-02,SKU-00014,WH-QLD,2025-07-15,2025-07-25,2025-07-25,120.0,120.0,4.12,Received
PO-000121,SUP-04,SKU-00011,WH-VIC,2025-07-15,2025-08-02,2025-08-02,154.0,154.0,5.92,Received
PO-000122,SUP-02,SKU-00016,WH-WA,2025-07-15,2025-08-03,2025-08-03,60.0,60.0,2.03,Received
PO-000123,SUP-05,SKU-00017,WH-WA,2025-07-15,2025-07-24,2025-07-24,187.0,187.0,1.83,Received
PO-000124,SUP-07,SKU-00012,WH-NSW,2025-07-16,2025-07-24,2025-07-24,51.0,51.0,2.93,Received
PO-000125,SUP-07,SKU-00006,WH-QLD,2025-07-16,2025-07-24,2025-07-26,149.0,149.0,4.07,Late
PO-000126,SUP-07,SKU-00012,WH-QLD,2025-07-16,2025-07-24,2025-07-24,84.0,84.0,2.93,Received
PO-000127,SUP-02,SKU-00018,WH-QLD,2025-07-16,2025-07-26,2025-07-26,302.0,302.0,2.32,Received
PO-000128,SUP-07,SKU-00022,WH-QLD,2025-07-16,2025-07-24,2025-07-23,60.0,60.0,3.85,Received
PO-000129,SUP-06,SKU-00009,WH-VIC,2025-07-16,2025-07-20,2025-07-20,101.0,101.0,4.65,Received
PO-000130,SUP-01,SKU-00015,WH-VIC,2025-07-16,2025-07-20,2025-07-21,192.0,192.0,2.27,Late
PO-000131,SUP-05,SKU-00017,WH-VIC,2025-07-16,2025-07-25,2025-07-25,163.0,163.0,1.83,Received
PO-000132,SUP-02,SKU-00024,WH-VIC,2025-07-16,2025-07-26,2025-07-26,328.0,242.0,1.36,Received
PO-000133,SUP-04,SKU-00011,WH-WA,2025-07-16,2025-08-03,2025-08-03,75.0,75.0,5.92,Received
PO-000134,SUP-01,SKU-00015,WH-WA,2025-07-16,2025-07-20,2025-07-20,82.0,82.0,2.27,Received
PO-000135,SUP-06,SKU-00019,WH-NSW,2025-07-17,2025-07-21,2025-07-21,200.0,200.0,5.36,Received
PO-000136,SUP-06,SKU-00009,WH-QLD,2025-07-17,2025-07-21,2025-07-21,96.0,96.0,4.65,Received
PO-000137,SUP-01,SKU-00015,WH-QLD,2025-07-17,2025-07-21,2025-07-22,87.0,87.0,2.27,Late
PO-000138,SUP-06,SKU-00019,WH-QLD,2025-07-17,2025-07-21,2025-07-21,264.0,264.0,5.36,Received
PO-000139,SUP-07,SKU-00020,WH-QLD,2025-07-17,2025-08-06,2025-08-05,280.0,280.0,5.2,Received
PO-000140,SUP-02,SKU-00014,WH-VIC,2025-07-17,2025-07-27,2025-07-26,287.0,287.0,4.12,Received
PO-000141,SUP-05,SKU-00001,WH-WA,2025-07-17,2025-07-26,2025-07-27,195.0,195.0,1.57,Late
PO-000142,SUP-06,SKU-00003,WH-WA,2025-07-17,2025-07-21,2025-07-21,67.0,67.0,5.99,Received
PO-000143,SUP-06,SKU-00009,WH-WA,2025-07-17,2025-07-21,2025-07-22,126.0,126.0,4.65,Late
PO-000144,SUP-07,SKU-00020,WH-WA,2025-07-17,2025-08-06,2025-08-06,127.0,127.0,5.2,Received
PO-000145,SUP-01,SKU-00015,WH-NSW,2025-07-18,2025-07-22,2025-07-22,161.0,161.0,2.27,Received
PO-000146,SUP-05,SKU-00023,WH-NSW,2025-07-18,2025-07-27,2025-07-28,250.0,250.0,2.48,Late
PO-000147,SUP-06,SKU-00003,WH-QLD,2025-07-18,2025-07-22,2025-07-23,116.0,116.0,5.99,Late
PO-000148,SUP-04,SKU-00005,WH-VIC,2025-07-18,2025-08-05,2025-08-04,75.0,75.0,2.29,Received
PO-000149,SUP-06,SKU-00019,WH-VIC,2025-07-18,2025-07-22,2025-07-22,162.0,162.0,5.36,Received
PO-000150,SUP-07,SKU-00006,WH-WA,2025-07-18,2025-07-26,2025-07-26,79.0,79.0,4.07,Received
PO-000151,SUP-07,SKU-00012,WH-WA,2025-07-18,2025-07-26,2025-07-25,64.0,64.0,2.93,Received
PO-000152,SUP-02,SKU-00014,WH-WA,2025-07-18,2025-07-28,2025-07-28,134.0,134.0,4.12,Received
PO-000153,SUP-06,SKU-00003,WH-NSW,2025-07-19,2025-07-23,2025-07-24,170.0,170.0,5.99,Late
PO-000154,SUP-02,SKU-00014,WH-NSW,2025-07-19,2025-07-29,2025-07-29,332.0,332.0,4.12,Received
PO-000155,SUP-02,SKU-00018,WH-NSW,2025-07-19,2025-07-29,2025-07-29,265.0,265.0,2.32,Received
PO-000156,SUP-07,SKU-00022,WH-NSW,2025-07-19,2025-07-27,2025-07-27,146.0,146.0,3.85,Received
PO-000157,SUP-02,SKU-00004,WH-QLD,2025-07-19,2025-08-07,2025-08-07,174.0,174.0,5.29,Received
PO-000158,SUP-03,SKU-00010,WH-QLD,2025-07-19,2025-08-07,2025-08-07,218.0,218.0,4.29,Received
PO-000159,SUP-02,SKU-00008,WH-VIC,2025-07-19,2025-07-29,2025-07-29,289.0,289.0,1.67,Received
PO-000160,SUP-03,SKU-00010,WH-VIC,2025-07-19,2025-08-07,2025-08-07,336.0,336.0,4.29,Received
PO-000161,SUP-01,SKU-00015,WH-VIC,2025-07-19,2025-07-23,2025-07-23,223.0,223.0,2.27,Received
PO-000162,SUP-07,SKU-00022,WH-VIC,2025-07-19,2025-07-27,2025-07-25,72.0,72.0,3.85,Received
PO-000163,SUP-07,SKU-00022,WH-WA,2025-07-19,2025-07-27,2025-07-25,72.0,72.0,3.85,Received
PO-000164,SUP-02,SKU-00008,WH-NSW,2025-07-20,2025-07-30,2025-07-30,189.0,189.0,1.67,Received
PO-000165,SUP-04,SKU-00005,WH-QLD,2025-07-20,2025-08-07,2025-08-07,130.0,130.0,2.29,Received
PO-000166,SUP-06,SKU-00003,WH-VIC,2025-07-20,2025-07-24,2025-07-24,211.0,211.0,5.99,Received
PO-000167,SUP-05,SKU-00023,WH-VIC,2025-07-20,2025-07-29,2025-07-28,190.0,190.0,2.48,Received
PO-000168,SUP-01,SKU-00015,WH-WA,2025-07-20,2025-07-24,2025-07-24,90.0,90.0,2.27,Received
PO-000169,SUP-06,SKU-00019,WH-WA,2025-07-20,2025-07-24,2025-07-24,57.0,57.0,5.36,Received
PO-000170,SUP-02,SKU-00002,WH-NSW,2025-07-21,2025-07-31,2025-07-31,394.0,394.0,2.21,Received
PO-000171,SUP-07,SKU-00006,WH-NSW,2025-07-21,2025-07-29,2025-07-29,114.0,114.0,4.07,Received
PO-000172,SUP-06,SKU-00009,WH-NSW,2025-07-21,2025-07-25,2025-07-26,189.0,189.0,4.65,Late
PO-000173,SUP-02,SKU-00008,WH-QLD,2025-07-21,2025-07-31,2025-07-31,396.0,396.0,1.67,Received
PO-000174,SUP-05,SKU-00017,WH-QLD,2025-07-21,2025-07-30,2025-07-30,345.0,345.0,1.83,Received
PO-000175,SUP-07,SKU-00006,WH-VIC,2025-07-21,2025-07-29,2025-07-31,76.0,76.0,4.07,Late
PO-000176,SUP-05,SKU-00013,WH-VIC,2025-07-21,2025-07-30,2025-07-28,267.0,267.0,2.42,Received
PO-000177,SUP-02,SKU-00018,WH-WA,2025-07-21,2025-07-31,2025-08-02,240.0,240.0,2.32,Late
PO-000178,SUP-05,SKU-00023,WH-WA,2025-07-21,2025-07-30,2025-07-28,112.0,112.0,2.48,Received
PO-000179,SUP-07,SKU-00006,WH-QLD,2025-07-22,2025-07-30,2025-08-02,142.0,142.0,4.07,Late
PO-000180,SUP-07,SKU-00012,WH-QLD,2025-07-22,2025-07-30,2025-08-01,78.0,78.0,2.93,Late
PO-000181,SUP-02,SKU-00016,WH-VIC,2025-07-22,2025-08-10,2025-08-09,75.0,75.0,2.03,Received
PO-000182,SUP-04,SKU-00021,WH-VIC,2025-07-22,2025-08-09,2025-08-07,151.0,151.0,2.1,Received
PO-000183,SUP-04,SKU-00005,WH-NSW,2025-07-23,2025-08-10,2025-08-11,58.0,58.0,2.29,Late
PO-000184,SUP-01,SKU-00015,WH-NSW,2025-07-23,2025-07-27,2025-07-28,172.0,172.0,2.27,Late
PO-000185,SUP-06,SKU-00009,WH-QLD,2025-07-23,2025-07-27,2025-07-27,90.0,90.0,4.65,Received
PO-000186,SUP-01,SKU-00015,WH-QLD,2025-07-23,2025-07-27,2025-07-28,108.0,108.0,2.27,Late
PO-000187,SUP-07,SKU-00022,WH-QLD,2025-07-23,2025-07-31,2025-07-31,61.0,61.0,3.85,Received
PO-000188,SUP-02,SKU-00002,WH-VIC,2025-07-23,2025-08-02,2025-08-02,479.0,479.0,2.21,Received
PO-000189,SUP-05,SKU-00017,WH-NSW,2025-07-24,2025-08-02,2025-08-02,183.0,183.0,1.83,Received
PO-000190,SUP-02,SKU-00024,WH-NSW,2025-07-24,2025-08-03,2025-08-03,266.0,266.0,1.36,Received
PO-000191,SUP-06,SKU-00019,WH-QLD,2025-07-24,2025-07-28,2025-07-28,317.0,317.0,5.36,Received
PO-000192,SUP-07,SKU-00006,WH-WA,2025-07-24,2025-08-01,2025-08-03,89.0,89.0,4.07,Late
PO-000193,SUP-06,SKU-00009,WH-WA,2025-07-24,2025-07-28,2025-07-27,149.0,149.0,4.65,Received
PO-000194,SUP-03,SKU-00010,WH-WA,2025-07-24,2025-08-12,2025-08-13,135.0,135.0,4.29,Late
PO-000195,SUP-06,SKU-00003,WH-NSW,2025-07-25,2025-07-29,2025-07-29,190.0,190.0,5.99,Received
PO-000196,SUP-04,SKU-00011,WH-NSW,2025-07-25,2025-08-12,2025-08-12,111.0,111.0,5.92,Received
PO-000197,SUP-07,SKU-00012,WH-NSW,2025-07-25,2025-08-02,2025-08-02,58.0,58.0,2.93,Received
PO-000198,SUP-06,SKU-00019,WH-NSW,2025-07-25,2025-07-29,2025-07-30,185.0,185.0,5.36,Late
PO-000199,SUP-02,SKU-00002,WH-QLD,2025-07-25,2025-08-04,2025-08-04,245.0,245.0,2.21,Received
PO-000200,SUP-06,SKU-00003,WH-QLD,2025-07-25,2025-07-29,2025-07-30,132.0,132.0,5.99,Late
PO-000201,SUP-02,SKU-00018,WH-QLD,2025-07-25,2025-08-04,2025-08-03,284.0,284.0,2.32,Received
PO-000202,SUP-05,SKU-00023,WH-QLD,2025-07-25,2025-08-03,2025-08-01,283.0,283.0,2.48,Received
PO-000203,SUP-06,SKU-00009,WH-VIC,2025-07-25,2025-07-29,2025-07-28,101.0,101.0,4.65,Received
PO-000204,SUP-06,SKU-00019,WH-VIC,2025-07-25,2025-07-29,2025-07-29,181.0,181.0,5.36,Received
PO-000205,SUP-02,SKU-00002,WH-WA,2025-07-25,2025-08-04,2025-08-02,51.0,51.0,2.21,Received
PO-000206,SUP-06,SKU-00003,WH-WA,2025-07-25,2025-07-29,2025-07-30,81.0,81.0,5.99,Late
PO-000207,SUP-07,SKU-00012,WH-WA,2025-07-25,2025-08-02,2025-07-31,67.0,47.0,2.93,Received
PO-000208,SUP-04,SKU-00021,WH-WA,2025-07-25,2025-08-12,2025-08-12,105.0,105.0,2.1,Received
PO-000209,SUP-06,SKU-00009,WH-NSW,2025-07-26,2025-07-30,2025-07-30,165.0,165.0,4.65,Received
PO-000210,SUP-03,SKU-00010,WH-NSW,2025-07-26,2025-08-14,2025-08-13,162.0,162.0,4.29,Received
PO-000211,SUP-02,SKU-00016,WH-QLD,2025-07-26,2025-08-14,2025-08-13,250.0,250.0,2.03,Received
PO-000212,SUP-06,SKU-00003,WH-VIC,2025-07-26,2025-07-30,2025-07-30,136.0,136.0,5.99,Received
PO-000213,SUP-02,SKU-00004,WH-VIC,2025-07-26,2025-08-14,2025-08-14,302.0,302.0,5.29,Received
PO-000214,SUP-01,SKU-00015,WH-VIC,2025-07-26,2025-07-30,2025-08-03,220.0,220.0,2.27,Late
PO-000215,SUP-02,SKU-00018,WH-VIC,2025-07-26,2025-08-05,2025-08-05,310.0,310.0,2.32,Received
PO-000216,SUP-02,SKU-00024,WH-VIC,2025-07-26,2025-08-05,2025-08-05,326.0,326.0,1.36,Received
PO-000217,SUP-05,SKU-00007,WH-WA,2025-07-26,2025-08-04,2025-08-04,126.0,126.0,2.62,Received
PO-000218,SUP-01,SKU-00015,WH-WA,2025-07-26,2025-07-30,2025-08-01,79.0,79.0,2.27,Late
PO-000219,SUP-05,SKU-00007,WH-NSW,2025-07-27,2025-08-05,2025-08-05,256.0,256.0,2.62,Received
PO-000220,SUP-02,SKU-00016,WH-NSW,2025-07-27,2025-08-15,2025-08-15,74.0,74.0,2.03,Received
PO-000221,SUP-07,SKU-00022,WH-NSW,2025-07-27,2025-08-04,2025-08-04,166.0,166.0,3.85,Received
PO-000222,SUP-04,SKU-00021,WH-QLD,2025-07-27,2025-08-14,2025-08-12,132.0,132.0,2.1,Received
PO-000223,SUP-07,SKU-00022,WH-VIC,2025-07-27,2025-08-04,2025-08-04,67.0,67.0,3.85,Received
PO-000224,SUP-02,SKU-00004,WH-WA,2025-07-27,2025-08-15,2025-08-15,69.0,69.0,5.29,Received
