return_id,date,store_id,sku_id,quantity,reason
RET-000043,2025-09-30,STR-06,SKU-00018,2,Quality issue
RET-000044,2026-04-16,STR-05,SKU-00006,2,Incorrect item
RET-000045,2025-08-10,STR-08,SKU-00023,1,Customer change of mind
RET-000046,2026-05-09,STR-07,SKU-00004,2,Incorrect item
RET-000047,2026-05-05,STR-03,SKU-00010,2,Incorrect item
RET-000048,2026-04-28,STR-08,SKU-00005,1,Damaged in transit
RET-000049,2026-03-13,STR-08,SKU-00014,1,Incorrect item
RET-000050,2026-03-28,STR-05,SKU-00008,2,Near expiry
RET-000051,2026-06-30,STR-05,SKU-00017,1,Incorrect item
RET-000052,2026-05-28,STR-07,SKU-00018,2,Customer change of mind
RET-000053,2025-11-07,STR-04,SKU-00015,2,Damaged in transit
RET-000054,2026-03-11,STR-05,SKU-00014,2,Quality issue
RET-000055,2025-07-02,STR-05,SKU-00010,2,Damaged in transit
RET-000056,2026-04-23,STR-07,SKU-00012,1,Quality issue
RET-000057,2026-05-11,STR-05,SKU-00002,2,Quality issue
RET-000058,2025-12-19,STR-05,SKU-00011,1,Quality issue
RET-000059,2026-02-04,STR-03,SKU-00009,2,Near expiry
RET-000060,2025-09-04,STR-01,SKU-00018,2,Customer change of mind
RET-000061,2026-04-25,STR-05,SKU-00005,1,Customer change of mind
RET-000062,2025-11-13,STR-01,SKU-00020,2,Customer change of mind
RET-000063,2025-12-19,STR-03,SKU-00015,1,Damaged in transit
RET-000064,2025-07-20,STR-02,SKU-00011,1,Quality issue
RET-000065,2026-07-27,STR-02,SKU-00024,2,Quality issue
RET-000066,2026-02-17,STR-05,SKU-00004,2,Near expiry
RET-000067,2025-11-16,STR-06,SKU-00010,1,Damaged in transit
RET-000068,2025-08-21,STR-02,SKU-00010,1,Customer change of mind
RET-000069,2026-02-09,STR-04,SKU-00009,2,Damaged in transit
RET-000070,2026-07-16,STR-03,SKU-00019,1,Near expiry
RET-000071,2026-07-22,STR-05,SKU-00024,2,Quality issue
RET-000072,2026-04-17,STR-08,SKU-00015,2,Damaged in transit
RET-000073,2025-08-24,STR-07,SKU-00003,2,Incorrect item
RET-000074,2026-02-10,STR-03,SKU-00008,1,Quality issue
RET-000075,2025-10-24,STR-07,SKU-00020,2,Incorrect item
RET-000076,2025-12-06,STR-04,SKU-00001,1,Incorrect item
RET-000077,2025-12-31,STR-07,SKU-00018,2,Near expiry
RET-000078,2025-10-05,STR-01,SKU-00007,1,Near expiry
RET-000079,2026-06-02,STR-02,SKU-00014,1,Quality issue
RET-000080,2025-09-14,STR-02,SKU-00014,2,Customer change of mind
RET-000081,2026-04-14,STR-03,SKU-00017,1,Near expiry
RET-000082,2026-03-01,STR-04,SKU-00017,2,Incorrect item
RET-000083,2025-07-17,STR-04,SKU-00011,2,Incorrect item
RET-000084,2025-09-16,STR-03,SKU-00011,2,Quality issue
RET-000085,2025-07-18,STR-02,SKU-00006,2,Near expiry
RET-000086,2026-06-22,STR-01,SKU-00007,2,Near expiry
RET-000087,2025-07-13,STR-01,SKU-00010,2,Customer change of mind
RET-000088,2025-09-18,STR-05,SKU-00014,1,Quality issue
RET-000089,2025-09-24,STR-04,SKU-00018,2,Near expiry
RET-000090,2026-07-18,STR-07,SKU-00021,1,Near expiry
RET-000091,2026-06-11,STR-05,SKU-00024,1,Near expiry
RET-000092,2025-11-04,STR-03,SKU-00007,1,Customer change of mind
RET-000093,2025-09-06,STR-06,SKU-00020,1,Quality issue
RET-000094,2025-09-20,STR-01,SKU-00003,1,Damaged in transit
RET-000095,2025-10-20,STR-05,SKU-00013,2,Damaged in transit
RET-000096,2025-07-08,STR-04,SKU-00014,1,Customer change of mind
RET-000097,2026-05-08,STR-06,SKU-00022,2,Incorrect item
RET-000098,2025-07-27,STR-06,SKU-00018,2,Quality issue
RET-000099,2026-05-06,STR-05,SKU-00001,1,Damaged in transit
RET-000100,2025-10-10,STR-03,SKU-00004,2,Quality issue
RET-000101,2026-06-06,STR-02,SKU-00012,2,Damaged in transit
RET-000102,2026-02-06,STR-07,SKU-00017,2,Incorrect item
RET-000103,2025-11-07,STR-08,SKU-00018,1,Incorrect item
RET-000104,2026-01-21,STR-05,SKU-00020,2,Incorrect item
RET-000105,2026-04-27,STR-07,SKU-00018,2,Customer change of mind
RET-000106,2025-07-10,STR-04,SKU-00014,2,Quality issue
RET-000107,2026-07-27,STR-06,SKU-00003,2,Quality issue
RET-000108,2025-11-29,STR-06,SKU-00011,2,Quality issue
RET-000109,2025-08-11,STR-04,SKU-00020,1,Near expiry
RET-000110,2026-05-18,STR-05,SKU-00019,2,Damaged in transit
RET-000111,2025-07-15,STR-05,SKU-00004,2,Incorrect item
RET-000112,2025-09-08,STR-01,SKU-00004,2,Quality issue
RET-000113,2025-11-26,STR-01,SKU-00018,2,Quality issue
RET-000114,2026-05-21,STR-04,SKU-00005,1,Damaged in transit
RET-000115,2026-07-06,STR-06,SKU-00011,2,Customer change of mind
RET-000116,2026-07-26,STR-07,SKU-00007,2,Quality issue
RET-000117,2026-05-20,STR-08,SKU-00019,1,Incorrect item
RET-000118,2026-04-12,STR-08,SKU-00014,1,Near expiry
RET-000119,2026-02-07,STR-07,SKU-00004,1,Damaged in transit
RET-000120,2026-04-09,STR-01,SKU-00013,1,Customer change of mind
RET-000121,2025-07-12,STR-01,SKU-00001,2,Incorrect item
RET-000122,2025-11-10,STR-01,SKU-00002,2,Customer change of mind
RET-000123,2025-12-03,STR-06,SKU-00020,1,Damaged in transit
RET-000124,2026-06-16,STR-07,SKU-00023,1,Damaged in transit
RET-000125,2025-09-16,STR-07,SKU-00021,2,Near expiry
RET-000126,2025-07-22,STR-04,SKU-00001,1,Incorrect item
RET-000127,2026-03-02,STR-04,SKU-00011,2,Near expiry
RET-000128,2026-06-12,STR-07,SKU-00008,2,Incorrect item
RET-000129,2026-01-28,STR-05,SKU-00018,2,Damaged in transit
RET-000130,2026-05-30,STR-08,SKU-00023,2,Damaged in transit
RET-000131,2025-10-26,STR-05,SKU-00016,1,Customer change of mind
RET-000132,2026-04-08,STR-01,SKU-00002,1,Damaged in transit
RET-000133,2026-01-08,STR-02,SKU-00015,2,Near expiry
RET-000134,2025-07-18,STR-05,SKU-00021,2,Customer change of mind
RET-000135,2025-08-16,STR-03,SKU-00016,2,Near expiry
RET-000136,2026-07-05,STR-06,SKU-00001,2,Customer change of mind
RET-000137,2026-07-25,STR-01,SKU-00024,1,Customer change of mind
RET-000138,2026-08-13,STR-02,SKU-00022,2,Quality issue
RET-000139,2025-12-16,STR-01,SKU-00015,2,Near expiry
RET-000140,2025-10-28,STR-08,SKU-00017,1,Incorrect item
RET-000141,2026-01-11,STR-02,SKU-00018,1,Near expiry
RET-000142,2026-03-13,STR-06,SKU-00020,1,Damaged in transit
RET-000143,2026-03-13,STR-05,SKU-00016,1,Customer change of mind
RET-000144,2026-07-19,STR-01,SKU-00013,1,Quality issue
RET-000145,2025-11-04,STR-08,SKU-00015,1,Near expiry
RET-000146,2025-09-01,STR-03,SKU-00020,2,Near expiry
RET-000147,2025-12-03,STR-08,SKU-00004,1,Quality issue
RET-000148,2025-10-24,STR-07,SKU-00014,1,Customer change of mind
RET-000149,2026-05-28,STR-08,SKU-00018,1,Incorrect item
RET-000150,2025-11-22,STR-07,SKU-00003,1,Near expiry
RET-000151,2026-04-09,STR-05,SKU-00013,1,Damaged in transit
RET-000152,2026-05-16,STR-06,SKU-00021,1,Near expiry
RET-000153,2026-05-13,STR-05,SKU-00010,2,Damaged in transit
RET-000154,2025-09-03,STR-05,SKU-00004,1,Incorrect item
RET-000155,2026-06-22,STR-06,SKU-00004,2,Quality issue
RET-000156,2026-01-07,STR-03,SKU-00013,2,Quality issue
RET-000157,2025-09-05,STR-06,SKU-00005,2,Incorrect item
RET-000158,2026-06-21,STR-03,SKU-00010,1,Near expiry
RET-000159,2026-07-25,STR-03,SKU-00009,2,Incorrect item
RET-000160,2026-02-25,STR-01,SKU-00011,2,Damaged in transit
RET-000161,2025-08-16,STR-08,SKU-00009,2,Incorrect item
RET-000162,2026-01-12,STR-01,SKU-00022,1,Near expiry
RET-000163,2025-09-07,STR-04,SKU-00003,2,Quality issue
RET-000164,2026-08-01,STR-06,SKU-00001,1,Quality issue
RET-000165,2025-07-24,STR-05,SKU-00013,2,Quality issue
RET-000166,2026-03-02,STR-03,SKU-00019,2,Near expiry
RET-000167,2025-11-09,STR-04,SKU-00003,2,Damaged in transit
RET-000168,2026-07-18,STR-04,SKU-00018,2,Customer change of mind
RET-000169,2025-08-12,STR-06,SKU-00002,1,Near expiry
RET-000170,2026-02-01,STR-07,SKU-00020,2,Near expiry
RET-000171,2025-12-13,STR-06,SKU-00018,2,Customer change of mind
RET-000172,2026-01-24,STR-06,SKU-00018,1,Damaged in transit
RET-000173,2026-08-06,STR-08,SKU-00009,1,Damaged in transit
RET-000174,2025-10-18,STR-06,SKU-00004,1,Incorrect item
RET-000175,2025-09-22,STR-02,SKU-00007,1,Customer change of mind
RET-000176,2026-06-17,STR-03,SKU-00010,1,Quality issue
RET-000177,2026-02-06,STR-08,SKU-00015,2,Quality issue
RET-000178,2025-07-27,STR-03,SKU-00009,2,Near expiry
RET-000179,2026-04-21,STR-01,SKU-00015,1,Near expiry
RET-000180,2026-01-14,STR-02,SKU-00019,2,Damaged in transit
RET-000181,2026-05-19,STR-04,SKU-00017,2,Incorrect item
RET-000182,2026-08-01,STR-07,SKU-00023,2,Damaged in transit
RET-000183,2026-01-13,STR-05,SKU-00020,1,Incorrect item
RET-000184,2026-03-06,STR-08,SKU-00017,2,Customer change of mind
RET-000185,2025-07-25,STR-05,SKU-00018,2,Near expiry
RET-000186,2025-10-13,STR-04,SKU-00021,1,Near expiry
RET-000187,2025-12-14,STR-02,SKU-00013,1,Damaged in transit
RET-000188,2026-03-18,STR-04,SKU-00010,2,Incorrect item
RET-000189,2026-07-05,STR-05,SKU-00020,1,Quality issue
RET-000190,2026-06-13,STR-01,SKU-00002,1,Near expiry
RET-000191,2025-11-29,STR-01,SKU-00014,1,Incorrect item
RET-000192,2026-03-16,STR-07,SKU-00014,2,Incorrect item
RET-000193,2025-09-13,STR-07,SKU-00010,1,Damaged in transit
RET-000194,2026-04-05,STR-08,SKU-00004,1,Near expiry
RET-000195,2026-06-19,STR-06,SKU-00014,1,Quality issue
RET-000196,2025-09-04,STR-03,SKU-00013,1,Customer change of mind
RET-000197,2025-07-27,STR-08,SKU-00006,1,Incorrect item
RET-000198,2026-08-10,STR-05,SKU-00005,1,Near expiry
RET-000199,2026-03-15,STR-03,SKU-00019,1,Customer change of mind
RET-000200,2025-08-19,STR-08,SKU-00005,1,Incorrect item
RET-000201,2026-01-02,STR-06,SKU-00006,2,Quality issue
RET-000202,2026-07-10,STR-08,SKU-00019,1,Customer change of mind
RET-000203,2025-11-06,STR-04,SKU-00004,1,Customer change of mind
RET-000204,2026-02-16,STR-07,SKU-00022,1,Customer change of mind
RET-000205,2025-11-14,STR-04,SKU-00015,1,Incorrect item
RET-000206,2026-04-26,STR-04,SKU-00015,1,Damaged in transit
RET-000207,2025-09-24,STR-05,SKU-00015,1,Damaged in transit
RET-000208,2025-09-10,STR-07,SKU-00003,1,Incorrect item
RET-000209,2026-02-14,STR-08,SKU-00005,1,Incorrect item
RET-000210,2025-08-04,STR-05,SKU-00021,1,Quality issue
RET-000211,2026-04-03,STR-06,SKU-00021,2,Quality issue
RET-000212,2025-12-21,STR-05,SKU-00020,1,Near expiry
RET-000213,2025-12-20,STR-08,SKU-00002,1,Damaged in transit
RET-000214,2025-12-10,STR-07,SKU-00006,1,Incorrect item
RET-000215,2025-08-29,STR-05,SKU-00006,1,Damaged in transit
RET-000216,2025-10-12,STR-03,SKU-00011,1,Customer change of mind
RET-000217,2026-01-13,STR-04,SKU-00022,2,Customer change of mind
RET-000218,2026-02-05,STR-07,SKU-00002,2,Quality issue
RET-000219,2026-06-26,STR-05,SKU-00006,1,Incorrect item
RET-000220,2026-05-22,STR-08,SKU-00010,2,Damaged in transit
RET-000221,2025-10-09,STR-07,SKU-00002,1,Near expiry
RET-000222,2026-01-10,STR-06,SKU-00021,2,Quality issue
RET-000223,2025-09-26,STR-02,SKU-00008,2,Incorrect item
RET-000224,2026-06-06,STR-08,SKU-00001,1,Near expiry
RET-000225,2025-10-20,STR-06,SKU-00010,2,Quality issue
RET-000226,2026-05-25,STR-02,SKU-00012,2,Damaged in transit
RET-000227,2025-11-19,STR-07,SKU-00004,1,Customer change of mind
RET-000228,2026-08-07,STR-08,SKU-00012,1,Near expiry
RET-000229,2026-04-26,STR-04,SKU-00012,2,Incorrect item
RET-000230,2026-03-02,STR-03,SKU-00015,2,Damaged in transit
RET-000231,2026-04-04,STR-02,SKU-00007,2,Customer change of mind
RET-000232,2026-03-25,STR-04,SKU-00014,2,Damaged in transit
RET-000233,2026-03-15,STR-08,SKU-00017,2,Damaged in transit
RET-000234,2025-10-09,STR-02,SKU-00015,1,Customer change of mind
RET-000235,2025-10-29,STR-04,SKU-00004,1,Near expiry
RET-000236,2025-07-25,STR-05,SKU-00013,2,Near expiry
RET-000237,2025-10-11,STR-03,SKU-00019,2,Customer change of mind
RET-000238,2026-01-24,STR-05,SKU-00008,2,Near expiry
RET-000239,2025-12-24,STR-03,SKU-00007,1,Customer change of mind
RET-000240,2026-03-07,STR-08,SKU-00024,2,Incorrect item
RET-000241,2025-12-22,STR-01,SKU-00002,2,Near expiry
RET-000242,2025-08-05,STR-03,SKU-00005,2,Damaged in transit
RET-000243,2025-11-12,STR-07,SKU-00010,2,Near expiry
RET-000244,2025-11-07,STR-06,SKU-00017,1,Incorrect item
RET-000245,2026-01-30,STR-03,SKU-00023,2,Quality issue
RET-000246,2025-09-06,STR-05,SKU-00013,1,Customer change of mind
RET-000247,2025-12-21,STR-07,SKU-00007,1,Near expiry
RET-000248,2026-07-22,STR-04,SKU-00006,2,Customer change of mind
RET-000249,2026-06-24,STR-02,SKU-00016,2,Quality issue
RET-000250,2026-05-02,STR-05,SKU-00021,2,Customer change of mind
RET-000251,2026-06-11,STR-05,SKU-00016,1,Incorrect item
RET-000252,2026-06-20,STR-04,SKU-00013,2,Near expiry
RET-000253,2026-04-18,STR-08,SKU-00001,1,Incorrect item
RET-000254,2026-03-03,STR-05,SKU-00017,2,Incorrect item
RET-000255,2026-07-12,STR-06,SKU-00015,2,Incorrect item
RET-000256,2025-07-19,STR-05,SKU-00004,1,Near expiry
RET-000257,2026-07-20,STR-03,SKU-00004,2,Incorrect item
RET-000258,2026-05-21,STR-08,SKU-00021,2,Damaged in transit
RET-000259,2025-11-10,STR-02,SKU-00012,2,Quality issue
RET-000260,2026-07-06,STR-06,SKU-00015,1,Damaged in transit
RET-000261,2025-07-12,STR-04,SKU-00021,2,Near expiry
RET-000262,2026-03-23,STR-05,SKU-00014,1,Damaged in transit
RET-000263,2026-03-09,STR-01,SKU-00001,2,Customer change of mind
RET-000264,2026-07-10,STR-06,SKU-00024,2,Customer change of mind
RET-000265,2026-01-12,STR-07,SKU-00020,2,Damaged in transit
RET-000266,2026-04-13,STR-04,SKU-00014,1,Near expiry
RET-000267,2026-06-16,STR-06,SKU-00015,1,Quality issue
RET-000268,2025-12-05,STR-06,SKU-00006,2,Quality issue
RET-000269,2025-08-23,STR-02,SKU-00016,1,Customer change of mind
RET-000270,2026-01-08,STR-02,SKU-00019,2,Quality issue
RET-000271,2026-01-19,STR-02,SKU-00020,1,Damaged in transit
RET-000272,2025-10-10,STR-02,SKU-00018,1,Near expiry
RET-000273,2026-07-30,STR-06,SKU-00020,1,Quality issue
RET-000274,2026-01-26,STR-07,SKU-00016,2,Damaged in transit
RET-000275,2025-11-28,STR-01,SKU-00020,2,Near expiry
RET-000276,2026-01-28,STR-04,SKU-00007,2,Damaged in transit
RET-000277,2026-03-30,STR-08,SKU-00023,2,Near expiry
RET-000278,2026-03-30,STR-02,SKU-00008,1,Damaged in transit
RET-000279,2026-01-14,STR-06,SKU-00002,2,Incorrect item
RET-000280,2026-04-16,STR-06,SKU-00004,1,Quality issue
RET-000281,2025-08-15,STR-02,SKU-00020,1,Customer change of mind
RET-000282,2025-10-03,STR-02,SKU-00010,2,Damaged in transit
RET-000283,2026-01-21,STR-04,SKU-00017,2,Damaged in transit
RET-000284,2025-11-01,STR-05,SKU-00004,1,Damaged in transit
RET-000285,2026-03-28,STR-02,SKU-00019,1,Near expiry
RET-000286,2025-11-15,STR-05,SKU-00003,2,Damaged in transit
RET-000287,2025-07-11,STR-06,SKU-00005,2,Incorrect item
RET-000288,2025-11-13,STR-05,SKU-00019,1,Customer change of mind
RET-000289,2026-04-13,STR-01,SKU-00014,2,Quality issue
RET-000290,2025-08-28,STR-08,SKU-00023,1,Near expiry
RET-000291,2026-06-21,STR-03,SKU-00006,1,Customer change of mind
RET-000292,2026-04-05,STR-07,SKU-00002,1,Incorrect item
RET-000293,2025-10-09,STR-02,SKU-00008,1,Near expiry
RET-000294,2025-09-06,STR-01,SKU-00007,2,Near expiry
RET-000295,2025-08-04,STR-02,SKU-00019,2,Incorrect item
RET-000296,2025-12-02,STR-08,SKU-00010,2,Incorrect item
RET-000297,2026-03-18,STR-04,SKU-00012,1,Incorrect item
RET-000298,2026-03-26,STR-03,SKU-00010,1,Incorrect item
RET-000299,2026-03-12,STR-06,SKU-00003,1,Quality issue
RET-000300,2025-08-23,STR-08,SKU-00014,2,Damaged in transit
RET-000301,2025-08-16,STR-03,SKU-00021,1,Incorrect item
RET-000302,2025-10-02,STR-01,SKU-00020,2,Customer change of mind
RET-000303,2025-07-01,STR-04,SKU-00010,1,Near expiry
RET-000304,2025-09-25,STR-08,SKU-00001,2,Quality issue
RET-000305,2025-10-13,STR-01,SKU-00008,1,Incorrect item
RET-000306,2026-07-14,STR-04,SKU-00010,2,Incorrect item
RET-000307,2026-03-31,STR-08,SKU-00015,2,Quality issue
RET-000308,2026-04-05,STR-05,SKU-00018,1,Quality issue
RET-000309,2025-08-12,STR-04,SKU-00011,1,Damaged in transit
RET-000310,2026-05-18,STR-04,SKU-00016,1,Incorrect item
RET-000311,2026-06-02,STR-01,SKU-00010,2,Incorrect item
RET-000312,2026-02-21,STR-08,SKU-00006,1,Customer change of mind
RET-000313,2026-05-29,STR-01,SKU-00013,1,Damaged in transit
RET-000314,2026-08-04,STR-01,SKU-00008,1,Quality issue
RET-000315,2025-10-22,STR-05,SKU-00019,1,Incorrect item
RET-000316,2026-07-15,STR-06,SKU-00023,1,Incorrect item
RET-000317,2026-06-24,STR-04,SKU-00005,2,Customer change of mind
RET-000318,2026-02-24,STR-08,SKU-00014,2,Damaged in transit
RET-000319,2025-12-23,STR-06,SKU-00011,2,Incorrect item
RET-000320,2026-04-15,STR-04,SKU-00011,1,Quality issue
RET-000321,2026-03-27,STR-08,SKU-00021,1,Quality issue
RET-000322,2026-06-11,STR-05,SKU-00004,1,Near expiry
RET-000323,2026-04-08,STR-06,SKU-00002,2,Incorrect item
RET-000324,2025-11-11,STR-02,SKU-00015,1,Near expiry
RET-000325,2025-10-02,STR-04,SKU-00007,1,Incorrect item
RET-000326,2025-08-07,STR-03,SKU-00020,1,Near expiry
RET-000327,2026-06-17,STR-05,SKU-00002,2,Incorrect item
RET-000328,2025-10-11,STR-04,SKU-00009,1,Incorrect item
RET-000329,2026-01-09,STR-08,SKU-00013,1,Damaged in transit
RET-000330,2026-02-17,STR-01,SKU-00013,1,Quality issue
RET-000331,2025-11-14,STR-08,SKU-00020,1,Incorrect item
RET-000332,2025-08-08,STR-02,SKU-00020,2,Damaged in transit
RET-000333,2025-10-07,STR-01,SKU-00019,2,Customer change of mind
RET-000334,2025-08-21,STR-02,SKU-00018,2,Quality issue
RET-000335,2025-12-10,STR-02,SKU-00010,1,Customer change of mind
RET-000336,2025-07-14,STR-07,SKU-00014,1,Customer change of mind
RET-000337,2025-11-20,STR-06,SKU-00014,1,Damaged in transit
RET-000338,2026-03-13,STR-03,SKU-00015,1,Incorrect item
RET-000339,2026-04-04,STR-06,SKU-00003,2,Near expiry
RET-000340,2025-08-13,STR-05,SKU-00013,1,Incorrect item
RET-000341,2026-02-23,STR-03,SKU-00016,1,Quality issue
RET-000342,2025-07-19,STR-03,SKU-00021,1,Customer change of mind
RET-000343,2025-10-11,STR-01,SKU-00004,1,Incorrect item
RET-000344,2026-04-22,STR-04,SKU-00021,1,Near expiry
RET-000345,2026-05-22,STR-04,SKU-00020,2,Customer change of mind
RET-000346,2026-08-17,STR-03,SKU-00002,1,Quality issue
RET-000347,2025-11-20,STR-06,SKU-00004,2,Near expiry
RET-000348,2026-06-26,STR-03,SKU-00002,1,Quality issue
RET-000349,2025-12-29,STR-01,SKU-00009,1,Customer change of mind
RET-000350,2026-04-20,STR-02,SKU-00019,2,Quality issue
RET-000351,2025-09-20,STR-08,SKU-00019,2,Quality issue
RET-000352,2025-07-30,STR-06,SKU-00021,1,Quality issue
RET-000353,2025-09-22,STR-01,SKU-00015,2,Damaged in transit
RET-000354,2025-09-24,STR-02,SKU-00023,1,Damaged in transit
RET-000355,2025-07-09,STR-01,SKU-00002,1,Quality issue
RET-000356,2025-07-31,STR-01,SKU-00002,2,Quality issue
RET-000357,2026-05-21,STR-08,SKU-00004,1,Quality issue
RET-000358,2025-09-05,STR-01,SKU-00018,2,Damaged in transit
RET-000359,2026-07-07,STR-01,SKU-00014,2,Near expiry
RET-000360,2026-06-20,STR-08,SKU-00019,2,Near expiry
RET-000361,2025-12-22,STR-02,SKU-00012,1,Customer change of mind
RET-000362,2025-08-10,STR-07,SKU-00020,1,Near expiry
RET-000363,2025-07-28,STR-01,SKU-00021,1,Incorrect item
RET-000364,2026-03-14,STR-03,SKU-00019,1,Customer change of mind
RET-000365,2026-02-17,STR-04,SKU-00011,2,Damaged in transit
RET-000366,2026-03-06,STR-03,SKU-00004,2,Damaged in transit
RET-000367,2025-11-04,STR-05,SKU-00020,1,Near expiry
RET-000368,2025-10-02,STR-04,SKU-00003,1,Incorrect item
RET-000369,2025-10-24,STR-01,SKU-00022,2,Damaged in transit
RET-000370,2026-05-16,STR-04,SKU-00003,2,Incorrect item
RET-000371,2025-11-09,STR-07,SKU-00010,2,Quality issue
RET-000372,2025-08-13,STR-04,SKU-00010,2,Damaged in transit
RET-000373,2026-04-26,STR-06,SKU-00009,1,Near expiry
RET-000374,2025-12-27,STR-05,SKU-00004,2,Near expiry
RET-000375,2025-10-04,STR-02,SKU-00014,1,Incorrect item
RET-000376,2025-12-20,STR-03,SKU-00002,1,Customer change of mind
RET-000377,2026-07-29,STR-06,SKU-00022,1,Quality issue
RET-000378,2026-01-28,STR-01,SKU-00019,1,Customer change of mind
RET-000379,2025-09-06,STR-03,SKU-00002,1,Quality issue
RET-000380,2025-11-24,STR-03,SKU-00004,2,Incorrect item
RET-000381,2025-07-21,STR-01,SKU-00003,2,Damaged in transit
RET-000382,2026-05-03,STR-07,SKU-00013,2,Near expiry
RET-000383,2025-11-20,STR-08,SKU-00012,2,Quality issue
RET-000384,2025-10-11,STR-01,SKU-00024,1,Damaged in transit
RET-000385,2025-10-06,STR-06,SKU-00018,1,Quality issue
RET-000386,2025-11-04,STR-02,SKU-00015,2,Incorrect item
RET-000387,2026-08-01,STR-06,SKU-00017,1,Damaged in transit
RET-000388,2026-05-05,STR-04,SKU-00017,2,Damaged in transit
RET-000389,2025-12-26,STR-03,SKU-00008,2,Customer change of mind
RET-000390,2026-01-15,STR-02,SKU-00010,1,Incorrect item
RET-000391,2025-10-11,STR-07,SKU-00010,2,Incorrect item
RET-000392,2026-02-01,STR-06,SKU-00014,2,Incorrect item
RET-000393,2026-06-20,STR-04,SKU-00011,1,Customer change of mind
RET-000394,2025-12-20,STR-06,SKU-00022,2,Quality issue
RET-000395,2026-07-02,STR-04,SKU-00007,1,Near expiry
RET-000396,2026-02-11,STR-07,SKU-00012,1,Near expiry
RET-000397,2026-03-15,STR-02,SKU-00019,2,Near expiry
RET-000398,2025-07-26,STR-01,SKU-00009,2,Near expiry
RET-000399,2025-10-07,STR-06,SKU-00022,2,Damaged in transit
RET-000400,2026-07-26,STR-03,SKU-00010,1,Quality issue
RET-000401,2025-10-27,STR-08,SKU-00020,1,Damaged in transit
RET-000402,2026-06-04,STR-08,SKU-00005,1,Near expiry
RET-000403,2026-05-19,STR-02,SKU-00024,2,Incorrect item
RET-000404,2025-07-13,STR-08,SKU-00018,1,Near expiry
RET-000405,2026-05-24,STR-03,SKU-00009,1,Damaged in transit
RET-000406,2025-09-17,STR-06,SKU-00018,2,Customer change of mind
RET-000407,2026-07-27,STR-08,SKU-00002,2,Damaged in transit
RET-000408,2026-05-24,STR-02,SKU-00007,1,Incorrect item
RET-000409,2025-10-28,STR-05,SKU-00021,1,Incorrect item
RET-000410,2026-06-02,STR-03,SKU-00023,1,Incorrect item
