date,store_id,sku_id,stockout_flag,lost_sales_units_estimate,lost_sales_revenue_estimate
2026-01-27,STR-08,SKU-00017,True,6,22.44
2026-01-27,STR-08,SKU-00002,True,1,3.23
2026-01-28,STR-01,SKU-00023,True,4,16.8
2026-01-28,STR-07,SKU-00013,True,11,54.45
2026-01-29,STR-01,SKU-00023,True,25,105.0
2026-01-29,STR-03,SKU-00001,True,9,28.98
2026-01-29,STR-03,SKU-00023,True,7,29.4
2026-01-30,STR-02,SKU-00013,True,9,44.55
2026-01-30,STR-03,SKU-00001,True,41,132.02
2026-01-31,STR-03,SKU-00001,True,34,109.48
2026-01-31,STR-06,SKU-00001,True,1,3.22
2026-01-31,STR-07,SKU-00013,True,2,9.9
2026-02-01,STR-01,SKU-00013,True,17,84.15
2026-02-01,STR-05,SKU-00006,True,14,110.04
2026-02-01,STR-06,SKU-00005,True,2,6.86
2026-02-01,STR-07,SKU-00013,True,45,222.75
2026-02-01,STR-08,SKU-00006,True,2,15.72
2026-02-02,STR-03,SKU-00006,True,5,39.3
2026-02-02,STR-04,SKU-00013,True,6,29.7
2026-02-02,STR-04,SKU-00007,True,6,26.52
2026-02-02,STR-04,SKU-00005,True,1,3.43
2026-02-02,STR-06,SKU-00005,True,4,13.72
2026-02-02,STR-07,SKU-00013,True,35,173.25
2026-02-02,STR-08,SKU-00004,True,2,19.26
2026-02-02,STR-08,SKU-00002,True,5,16.15
2026-02-03,STR-03,SKU-00013,True,32,158.4
2026-02-03,STR-06,SKU-00005,True,3,10.29
2026-02-03,STR-06,SKU-00023,True,2,8.4
2026-02-03,STR-08,SKU-00006,True,1,7.86
2026-02-03,STR-08,SKU-00004,True,2,19.26
2026-02-04,STR-06,SKU-00005,True,4,13.72
2026-02-04,STR-07,SKU-00007,True,5,22.1
2026-02-04,STR-08,SKU-00006,True,6,47.16
2026-02-05,STR-05,SKU-00005,True,5,17.15
2026-02-09,STR-04,SKU-00017,True,6,22.44
2026-02-10,STR-05,SKU-00014,True,1,7.24
2026-02-10,STR-06,SKU-00005,True,2,6.86
2026-02-10,STR-08,SKU-00013,True,9,44.55
2026-02-11,STR-02,SKU-00023,True,2,8.4
2026-02-11,STR-04,SKU-00007,True,5,22.1
2026-02-11,STR-05,SKU-00006,True,10,78.6
2026-02-11,STR-08,SKU-00013,True,14,69.3
2026-02-12,STR-02,SKU-00023,True,24,100.8
2026-02-12,STR-06,SKU-00023,True,6,25.2
2026-02-12,STR-08,SKU-00001,True,7,22.54
2026-02-13,STR-04,SKU-00001,True,17,54.74
2026-02-13,STR-08,SKU-00001,True,14,45.08
2026-02-13,STR-08,SKU-00017,True,1,3.74
2026-02-14,STR-04,SKU-00013,True,13,64.35
2026-02-14,STR-04,SKU-00001,True,27,86.94
2026-02-14,STR-07,SKU-00005,True,2,6.86
2026-02-14,STR-07,SKU-00007,True,10,44.2
2026-02-14,STR-08,SKU-00001,True,8,25.76
2026-02-14,STR-08,SKU-00018,True,1,3.38
2026-02-14,STR-08,SKU-00017,True,11,41.14
2026-02-15,STR-03,SKU-00023,True,1,4.2
2026-02-15,STR-04,SKU-00017,True,14,52.36
2026-02-15,STR-08,SKU-00017,True,16,59.84
2026-02-16,STR-04,SKU-00017,True,18,67.32
2026-02-16,STR-07,SKU-00013,True,11,54.45
2026-02-16,STR-08,SKU-00017,True,24,89.76
2026-02-19,STR-07,SKU-00013,True,11,54.45
2026-02-19,STR-08,SKU-00005,True,2,6.86
2026-02-21,STR-02,SKU-00007,True,26,114.92
2026-02-21,STR-08,SKU-00005,True,1,3.43
2026-02-22,STR-02,SKU-00007,True,44,194.48
2026-02-22,STR-06,SKU-00017,True,13,48.62
2026-02-22,STR-07,SKU-00005,True,5,17.15
2026-02-22,STR-07,SKU-00007,True,21,92.82
2026-02-22,STR-08,SKU-00005,True,4,13.72
2026-02-23,STR-03,SKU-00023,True,15,63.0
2026-02-23,STR-05,SKU-00005,True,3,10.29
2026-02-23,STR-06,SKU-00017,True,22,82.28
2026-02-23,STR-08,SKU-00001,True,6,19.32
2026-02-23,STR-08,SKU-00013,True,1,4.95
2026-02-24,STR-03,SKU-00005,True,2,6.86
2026-02-25,STR-03,SKU-00001,True,13,41.86
2026-02-25,STR-07,SKU-00005,True,1,3.43
2026-02-25,STR-08,SKU-00023,True,1,4.2
2026-02-26,STR-03,SKU-00001,True,36,115.92
2026-02-28,STR-03,SKU-00005,True,6,20.58
2026-02-28,STR-07,SKU-00005,True,7,24.01
2026-02-28,STR-07,SKU-00007,True,5,22.1
2026-02-28,STR-08,SKU-00017,True,1,3.74
2026-02-28,STR-08,SKU-00005,True,1,3.43
2026-03-01,STR-07,SKU-00007,True,27,119.34
2026-03-02,STR-05,SKU-00005,True,6,20.58
2026-03-03,STR-05,SKU-00005,True,8,27.44
2026-03-04,STR-06,SKU-00005,True,1,3.43
2026-03-04,STR-08,SKU-00017,True,1,3.74
2026-03-05,STR-03,SKU-00013,True,7,34.65
2026-03-05,STR-03,SKU-00017,True,8,29.92
2026-03-05,STR-08,SKU-00017,True,15,56.1
2026-03-06,STR-03,SKU-00013,True,29,143.55
2026-03-06,STR-07,SKU-00013,True,29,143.55
2026-03-06,STR-08,SKU-00002,True,2,6.46
2026-03-07,STR-03,SKU-00023,True,8,33.6
2026-03-07,STR-07,SKU-00005,True,8,27.44
2026-03-07,STR-08,SKU-00002,True,5,16.15
2026-03-08,STR-03,SKU-00005,True,4,13.72
2026-03-08,STR-04,SKU-00014,True,1,7.24
2026-03-08,STR-06,SKU-00017,True,23,86.02
2026-03-08,STR-07,SKU-00005,True,12,41.16
2026-03-08,STR-08,SKU-00017,True,3,11.22
2026-03-09,STR-03,SKU-00005,True,2,6.86
2026-03-09,STR-06,SKU-00014,True,1,7.24
2026-03-09,STR-06,SKU-00005,True,1,3.43
2026-03-09,STR-07,SKU-00005,True,10,34.3
2026-03-10,STR-01,SKU-00011,True,4,43.88
2026-03-10,STR-06,SKU-00005,True,1,3.43
2026-03-10,STR-07,SKU-00005,True,5,17.15
2026-03-10,STR-08,SKU-00014,True,1,7.24
2026-03-11,STR-06,SKU-00005,True,6,20.58
2026-03-11,STR-08,SKU-00023,True,7,29.4
2026-03-12,STR-06,SKU-00005,True,2,6.86
2026-03-13,STR-03,SKU-00001,True,16,51.52
2026-03-13,STR-08,SKU-00014,True,8,57.92
2026-03-14,STR-02,SKU-00014,True,2,14.48
2026-03-14,STR-08,SKU-00023,True,2,8.4
2026-03-15,STR-03,SKU-00007,True,3,13.26
2026-03-17,STR-06,SKU-00017,True,16,59.84
2026-03-20,STR-04,SKU-00015,True,1,3.18
2026-03-21,STR-04,SKU-00005,True,2,6.86
2026-03-21,STR-05,SKU-00016,True,1,3.48
2026-03-22,STR-03,SKU-00005,True,2,6.86
2026-03-22,STR-04,SKU-00005,True,4,13.72
2026-03-22,STR-08,SKU-00014,True,2,14.48
2026-03-22,STR-08,SKU-00017,True,2,7.48
2026-03-23,STR-01,SKU-00011,True,3,32.91
2026-03-26,STR-05,SKU-00005,True,3,10.29
2026-03-27,STR-05,SKU-00005,True,2,6.86
2026-03-28,STR-08,SKU-00020,True,3,28.44
2026-04-03,STR-03,SKU-00001,True,31,99.82
2026-04-03,STR-04,SKU-00005,True,7,24.01
2026-04-03,STR-08,SKU-00009,True,6,40.86
2026-04-04,STR-03,SKU-00001,True,27,86.94
2026-04-04,STR-04,SKU-00005,True,6,20.58
2026-04-05,STR-04,SKU-00004,True,1,9.63
2026-04-05,STR-04,SKU-00006,True,1,7.86
2026-04-05,STR-05,SKU-00005,True,2,6.86
2026-04-05,STR-08,SKU-00005,True,3,10.29
2026-04-06,STR-04,SKU-00016,True,1,3.48
2026-04-06,STR-05,SKU-00005,True,3,10.29
2026-04-06,STR-08,SKU-00018,True,7,23.66
2026-04-07,STR-01,SKU-00021,True,2,6.28
2026-04-07,STR-05,SKU-00005,True,2,6.86
2026-04-08,STR-05,SKU-00005,True,4,13.72
2026-04-09,STR-04,SKU-00011,True,1,10.97
2026-04-10,STR-08,SKU-00017,True,1,3.74
2026-04-11,STR-08,SKU-00017,True,17,63.58
2026-04-12,STR-03,SKU-00017,True,15,56.1
2026-04-12,STR-07,SKU-00017,True,14,52.36
2026-04-13,STR-03,SKU-00017,True,30,112.2
2026-04-23,STR-07,SKU-00013,True,1,4.95
2026-04-24,STR-06,SKU-00005,True,1,3.43
2026-04-25,STR-04,SKU-00003,True,4,39.92
2026-04-25,STR-04,SKU-00021,True,2,6.28
2026-04-26,STR-03,SKU-00011,True,2,21.94
2026-04-27,STR-08,SKU-00002,True,1,3.23
2026-05-03,STR-08,SKU-00002,True,1,3.23
2026-05-11,STR-06,SKU-00005,True,5,17.15
2026-05-12,STR-06,SKU-00005,True,3,10.29
2026-05-21,STR-08,SKU-00004,True,1,9.63
2026-05-26,STR-03,SKU-00021,True,1,3.14
2026-05-30,STR-01,SKU-00021,True,1,3.14
2026-05-30,STR-04,SKU-00011,True,1,10.97
2026-06-09,STR-03,SKU-00006,True,2,15.72
2026-06-11,STR-07,SKU-00022,True,1,7.43
2026-06-15,STR-06,SKU-00011,True,4,43.88
2026-06-17,STR-08,SKU-00006,True,5,39.3
2026-06-21,STR-08,SKU-00006,True,3,23.58
2026-06-28,STR-08,SKU-00012,True,4,20.56
2026-07-04,STR-07,SKU-00012,True,5,25.7
2026-07-05,STR-07,SKU-00006,True,9,70.74
2026-07-06,STR-08,SKU-00011,True,1,10.97
2026-07-12,STR-05,SKU-00011,True,2,21.94
2026-07-12,STR-07,SKU-00022,True,4,29.72
2026-07-15,STR-02,SKU-00012,True,1,5.14
2026-07-22,STR-07,SKU-00021,True,1,3.14
2026-07-23,STR-07,SKU-00022,True,3,22.29
2026-07-27,STR-04,SKU-00021,True,1,3.14
2026-07-27,STR-08,SKU-00021,True,2,6.28
2026-07-28,STR-04,SKU-00021,True,15,47.1
2026-07-28,STR-08,SKU-00021,True,1,3.14
2026-07-30,STR-08,SKU-00011,True,2,21.94
