store_id,sku_id,demand_mean_daily,demand_std_daily,lead_time_days,lead_time_std_days,service_level_z,safety_stock_units,reorder_point_units,economic_order_qty_units,supplier_on_time_rate
STR-02,SKU-00002,22.0,5.44,9.7,1.44,1.65,59.3,272.7,386.0,0.886
STR-02,SKU-00003,20.04,5.02,4.0,0.73,1.65,29.3,109.4,386.0,0.828
STR-02,SKU-00006,9.5,2.83,8.0,1.71,1.65,29.9,105.9,386.0,0.692
STR-02,SKU-00007,14.23,3.64,9.1,1.59,1.65,41.5,171.0,386.0,0.695
STR-02,SKU-00008,14.84,4.39,9.8,1.57,1.65,44.6,190.1,386.0,0.877
STR-02,SKU-00009,24.04,4.61,4.0,0.66,1.65,30.3,126.4,386.0,0.835
STR-02,SKU-00010,5.7,2.28,18.6,2.56,1.65,29.0,135.0,386.0,0.814
STR-02,SKU-00011,4.3,1.59,17.4,2.98,1.65,23.8,98.7,386.0,0.761
STR-02,SKU-00012,5.93,4.94,8.1,1.44,1.65,27.1,75.2,386.0,0.741
STR-02,SKU-00013,10.39,3.6,9.0,1.74,1.65,34.8,128.3,386.0,0.694
STR-02,SKU-00014,19.02,4.36,9.7,1.46,1.65,51.0,235.5,386.0,0.844
STR-02,SKU-00015,18.09,4.3,4.1,1.44,1.65,45.3,119.5,386.0,0.685
STR-02,SKU-00016,5.75,2.39,18.5,2.4,1.65,28.4,134.8,386.0,0.897
STR-02,SKU-00018,16.07,4.07,9.8,1.07,1.65,35.3,192.8,386.0,0.845
STR-02,SKU-00019,16.91,3.71,4.0,0.73,1.65,23.8,91.4,386.0,0.841
STR-02,SKU-00020,11.11,3.43,19.2,3.32,1.65,65.7,278.9,386.0,0.789
STR-02,SKU-00022,9.89,3.23,7.9,1.64,1.65,30.7,108.8,386.0,0.704
STR-02,SKU-00023,11.29,3.28,9.0,1.72,1.65,35.9,137.5,386.0,0.703
STR-02,SKU-00024,11.27,3.04,9.9,0.92,1.65,23.3,134.8,386.0,0.826
STR-03,SKU-00001,14.59,3.78,9.0,1.58,1.65,42.4,173.7,386.0,0.697
STR-03,SKU-00002,12.89,3.17,9.7,1.44,1.65,34.7,159.8,386.0,0.886
STR-03,SKU-00004,6.2,3.05,18.8,2.12,1.65,30.7,147.2,386.0,0.811
STR-03,SKU-00005,4.61,2.11,18.0,2.25,1.65,22.6,105.7,386.0,0.664
STR-03,SKU-00006,12.29,3.4,8.0,1.71,1.65,38.1,136.4,386.0,0.692
STR-03,SKU-00007,14.34,4.31,9.1,1.59,1.65,43.3,173.8,386.0,0.695
STR-03,SKU-00008,24.09,4.71,9.8,1.57,1.65,67.0,303.0,386.0,0.877
STR-03,SKU-00009,13.93,4.04,4.0,0.66,1.65,20.2,75.9,386.0,0.835
STR-03,SKU-00010,7.8,2.78,18.6,2.56,1.65,38.4,183.6,386.0,0.814
STR-03,SKU-00011,6.29,2.35,17.4,2.98,1.65,34.9,144.3,386.0,0.761
STR-03,SKU-00013,18.05,4.08,9.0,1.74,1.65,55.6,218.1,386.0,0.694
STR-03,SKU-00015,14.0,3.86,4.1,1.44,1.65,35.7,93.1,386.0,0.685
STR-03,SKU-00016,12.48,12.74,18.5,2.4,1.65,103.0,333.9,386.0,0.897
STR-03,SKU-00017,17.98,4.46,9.1,1.34,1.65,45.5,209.2,386.0,0.735
STR-03,SKU-00018,12.68,4.22,9.8,1.07,1.65,31.2,155.5,386.0,0.845
STR-03,SKU-00019,28.12,5.2,4.0,0.73,1.65,38.0,150.5,386.0,0.841
STR-03,SKU-00020,10.46,3.44,19.2,3.32,1.65,62.5,263.4,386.0,0.789
STR-03,SKU-00021,5.51,4.92,17.4,3.22,1.65,44.8,140.6,386.0,0.694
STR-03,SKU-00023,9.21,2.79,9.0,1.72,1.65,29.6,112.5,386.0,0.703
STR-04,SKU-00001,8.25,3.39,9.0,1.58,1.65,27.3,101.5,386.0,0.697
STR-04,SKU-00003,10.48,3.14,4.0,0.73,1.65,16.3,58.3,386.0,0.828
STR-04,SKU-00004,2.89,1.63,18.8,2.12,1.65,15.4,69.8,386.0,0.811
STR-04,SKU-00005,3.39,1.66,18.0,2.25,1.65,17.1,78.2,386.0,0.664
STR-04,SKU-00006,8.79,2.98,8.0,1.71,1.65,28.4,98.7,386.0,0.692
STR-04,SKU-00007,7.62,2.56,9.1,1.59,1.65,23.7,93.1,386.0,0.695
STR-04,SKU-00009,14.75,4.33,4.0,0.66,1.65,21.5,80.5,386.0,0.835
STR-04,SKU-00010,6.71,2.61,18.6,2.56,1.65,33.9,158.8,386.0,0.814
STR-04,SKU-00011,2.84,1.69,17.4,2.98,1.65,18.2,67.6,386.0,0.761
STR-04,SKU-00012,4.7,1.99,8.1,1.44,1.65,14.6,52.6,386.0,0.741
STR-04,SKU-00013,9.75,3.06,9.0,1.74,1.65,31.8,119.6,386.0,0.694
STR-04,SKU-00014,6.46,2.19,9.7,1.46,1.65,19.2,81.9,386.0,0.844
STR-04,SKU-00015,7.55,2.85,4.1,1.44,1.65,20.3,51.3,386.0,0.685
STR-04,SKU-00016,3.93,1.9,18.5,2.4,1.65,20.6,93.2,386.0,0.897
STR-04,SKU-00017,7.25,2.71,9.1,1.34,1.65,21.0,86.9,386.0,0.735
STR-04,SKU-00018,19.05,27.72,9.8,1.07,1.65,147.1,333.8,386.0,0.845
STR-04,SKU-00020,6.02,2.37,19.2,3.32,1.65,37.2,152.7,386.0,0.789
STR-04,SKU-00021,4.82,2.34,17.4,3.22,1.65,30.2,114.1,386.0,0.694
STR-04,SKU-00022,6.86,2.79,7.9,1.64,1.65,22.6,76.8,386.0,0.704
STR-05,SKU-00001,10.41,16.5,9.0,1.58,1.65,86.1,179.8,386.0,0.697
STR-05,SKU-00002,18.61,4.73,9.7,1.44,1.65,50.4,230.9,386.0,0.886
STR-05,SKU-00003,18.75,4.53,4.0,0.73,1.65,27.1,102.1,386.0,0.828
STR-05,SKU-00004,6.73,2.14,18.8,2.12,1.65,28.1,154.6,386.0,0.811
STR-05,SKU-00005,4.45,2.13,18.0,2.25,1.65,22.3,102.3,386.0,0.664
STR-05,SKU-00006,10.41,3.16,8.0,1.71,1.65,32.9,116.1,386.0,0.692
STR-05,SKU-00008,16.88,4.57,9.8,1.57,1.65,49.7,215.1,386.0,0.877
STR-05,SKU-00010,11.32,3.98,18.6,2.56,1.65,55.6,266.2,386.0,0.814
STR-05,SKU-00011,6.77,2.77,17.4,2.98,1.65,38.4,156.1,386.0,0.761
STR-05,SKU-00013,7.86,2.79,9.0,1.74,1.65,26.5,97.2,386.0,0.694
STR-05,SKU-00014,14.29,3.75,9.7,1.46,1.65,39.4,178.0,386.0,0.844
STR-05,SKU-00015,19.84,4.67,4.1,1.44,1.65,49.6,131.0,386.0,0.685
STR-05,SKU-00016,5.21,2.41,18.5,2.4,1.65,26.8,123.3,386.0,0.897
STR-05,SKU-00017,8.39,3.1,9.1,1.34,1.65,24.1,100.5,386.0,0.735
STR-05,SKU-00018,9.27,3.87,9.8,1.07,1.65,25.8,116.7,386.0,0.845
STR-05,SKU-00019,10.34,3.19,4.0,0.73,1.65,16.3,57.7,386.0,0.841
STR-05,SKU-00020,9.18,3.23,19.2,3.32,1.65,55.4,231.7,386.0,0.789
STR-05,SKU-00021,6.5,2.65,17.4,3.22,1.65,39.1,152.2,386.0,0.694
STR-05,SKU-00024,15.09,4.15,9.9,0.92,1.65,31.5,180.8,386.0,0.826
STR-06,SKU-00001,10.07,3.56,9.0,1.58,1.65,31.6,122.3,386.0,0.697
STR-06,SKU-00002,10.64,2.6,9.7,1.44,1.65,28.6,131.8,386.0,0.886
STR-06,SKU-00003,14.8,3.83,4.0,0.73,1.65,21.8,81.1,386.0,0.828
STR-06,SKU-00004,6.46,2.41,18.8,2.12,1.65,28.4,150.0,386.0,0.811
STR-06,SKU-00005,2.7,1.65,18.0,2.25,1.65,15.3,63.9,386.0,0.664
STR-06,SKU-00006,7.34,2.84,8.0,1.71,1.65,24.6,83.3,386.0,0.692
STR-06,SKU-00009,11.62,3.79,4.0,0.66,1.65,17.8,64.3,386.0,0.835
STR-06,SKU-00010,7.5,9.99,18.6,2.56,1.65,77.8,217.3,386.0,0.814
STR-06,SKU-00011,4.41,1.97,17.4,2.98,1.65,25.6,102.3,386.0,0.761
STR-06,SKU-00014,13.27,3.77,9.7,1.46,1.65,37.4,166.1,386.0,0.844
STR-06,SKU-00015,8.66,3.42,4.1,1.44,1.65,23.5,59.1,386.0,0.685
STR-06,SKU-00017,10.07,3.47,9.1,1.34,1.65,28.2,119.8,386.0,0.735
STR-06,SKU-00018,7.54,2.64,9.8,1.07,1.65,19.1,92.9,386.0,0.845
STR-06,SKU-00019,10.46,3.43,4.0,0.73,1.65,16.9,58.8,386.0,0.841
STR-06,SKU-00020,4.32,2.12,19.2,3.32,1.65,28.2,111.2,386.0,0.789
STR-06,SKU-00021,3.54,1.85,17.4,3.22,1.65,22.7,84.2,386.0,0.694
STR-06,SKU-00022,11.84,3.53,7.9,1.64,1.65,36.0,129.5,386.0,0.704
STR-06,SKU-00023,7.52,3.14,9.0,1.72,1.65,26.4,94.1,386.0,0.703
STR-06,SKU-00024,9.05,2.96,9.9,0.92,1.65,20.6,110.3,386.0,0.826
STR-07,SKU-00002,11.32,3.63,9.7,1.44,1.65,32.7,142.6,386.0,0.886
STR-07,SKU-00003,16.07,3.33,4.0,0.73,1.65,22.3,86.5,386.0,0.828
STR-07,SKU-00004,5.3,2.97,18.8,2.12,1.65,28.2,127.9,386.0,0.811
STR-07,SKU-00005,5.39,2.39,18.0,2.25,1.65,26.1,123.1,386.0,0.664
STR-07,SKU-00006,12.2,3.38,8.0,1.71,1.65,37.9,135.4,386.0,0.692
STR-07,SKU-00007,13.98,4.05,9.1,1.59,1.65,41.9,169.1,386.0,0.695
STR-07,SKU-00008,14.14,3.78,9.8,1.57,1.65,41.5,180.1,386.0,0.877
STR-07,SKU-00010,8.25,2.69,18.6,2.56,1.65,39.8,193.2,386.0,0.814
STR-07,SKU-00012,14.27,3.82,8.1,1.44,1.65,38.4,153.9,386.0,0.741
STR-07,SKU-00013,15.57,4.04,9.0,1.74,1.65,49.0,189.1,386.0,0.694
STR-07,SKU-00014,9.77,2.62,9.7,1.46,1.65,27.1,121.9,386.0,0.844
STR-07,SKU-00016,6.66,2.47,18.5,2.4,1.65,31.7,154.9,386.0,0.897
STR-07,SKU-00017,13.43,4.13,9.1,1.34,1.65,36.1,158.3,386.0,0.735
STR-07,SKU-00018,16.7,4.05,9.8,1.07,1.65,36.2,199.8,386.0,0.845
STR-07,SKU-00019,13.04,3.93,4.0,0.73,1.65,20.4,72.5,386.0,0.841
STR-07,SKU-00020,10.34,3.82,19.2,3.32,1.65,63.0,261.5,386.0,0.789
STR-07,SKU-00021,5.29,2.53,17.4,3.22,1.65,33.0,125.0,386.0,0.694
STR-07,SKU-00022,10.21,3.14,7.9,1.64,1.65,31.2,111.9,386.0,0.704
STR-07,SKU-00023,15.68,4.64,9.0,1.72,1.65,50.1,191.2,386.0,0.703
STR-08,SKU-00001,5.0,2.52,9.0,1.58,1.65,18.0,63.0,386.0,0.697
STR-08,SKU-00002,4.61,2.07,9.7,1.44,1.65,15.3,59.9,386.0,0.886
STR-08,SKU-00004,1.62,1.17,18.8,2.12,1.65,10.1,40.7,386.0,0.811
STR-08,SKU-00005,1.54,1.25,18.0,2.25,1.65,10.5,38.3,386.0,0.664
STR-08,SKU-00006,3.27,2.15,8.0,1.71,1.65,13.6,39.8,386.0,0.692
STR-08,SKU-00009,7.09,2.65,4.0,0.66,1.65,11.7,40.0,386.0,0.835
STR-08,SKU-00010,3.39,1.78,18.6,2.56,1.65,19.1,82.2,386.0,0.814
STR-08,SKU-00011,2.45,1.73,17.4,2.98,1.65,16.9,59.5,386.0,0.761
STR-08,SKU-00012,4.41,2.15,8.1,1.44,1.65,14.5,50.3,386.0,0.741
STR-08,SKU-00013,4.8,2.22,9.0,1.74,1.65,17.6,60.9,386.0,0.694
STR-08,SKU-00014,6.66,2.77,9.7,1.46,1.65,21.4,86.0,386.0,0.844
STR-08,SKU-00015,8.77,2.82,4.1,1.44,1.65,22.9,58.8,386.0,0.685
STR-08,SKU-00017,5.32,2.2,9.1,1.34,1.65,16.1,64.5,386.0,0.735
STR-08,SKU-00018,4.29,2.21,9.8,1.07,1.65,13.7,55.7,386.0,0.845
STR-08,SKU-00019,5.62,2.58,4.0,0.73,1.65,10.9,33.4,386.0,0.841
STR-08,SKU-00020,2.16,1.45,19.2,3.32,1.65,15.8,57.3,386.0,0.789
STR-08,SKU-00021,3.12,1.56,17.4,3.22,1.65,19.8,74.2,386.0,0.694
STR-08,SKU-00023,6.14,2.14,9.0,1.72,1.65,20.4,75.7,386.0,0.703
STR-08,SKU-00024,4.39,2.35,9.9,0.92,1.65,13.9,57.4,386.0,0.826
