decision_id,date,sku_id,location_type,location_id,recommended_order_qty,reorder_point,safety_stock_units,approved_qty,approver,override_flag,override_reason,decision_status
DEC-000126,2025-07-01,SKU-00006,Store,STR-03,37.0,43.5,26.1,37.0,System Auto-Replenishment,False,,Auto-approved
DEC-000127,2025-07-01,SKU-00015,Store,STR-04,24.2,29.0,17.4,24.2,System Auto-Replenishment,False,,Auto-approved
DEC-000128,2025-07-01,SKU-00004,Store,STR-04,12.0,15.5,9.3,12.0,System Auto-Replenishment,False,,Auto-approved
DEC-000129,2025-07-01,SKU-00013,Store,STR-04,49.8,69.4,41.7,49.8,System Auto-Replenishment,False,,Auto-approved
DEC-000130,2025-07-01,SKU-00006,Store,STR-04,25.0,35.4,21.3,25.0,System Auto-Replenishment,False,,Auto-approved
DEC-000131,2025-07-01,SKU-00009,Store,STR-04,47.0,63.0,37.8,47.0,System Auto-Replenishment,False,,Auto-approved
DEC-000132,2025-07-01,SKU-00002,Store,STR-05,84.1,102.8,61.7,84.1,System Auto-Replenishment,False,,Auto-approved
DEC-000133,2025-07-01,SKU-00018,Store,STR-05,34.9,47.4,28.4,34.9,System Auto-Replenishment,False,,Auto-approved
DEC-000134,2025-07-01,SKU-00001,Store,STR-05,53.2,71.6,43.0,53.2,System Auto-Replenishment,False,,Auto-approved
DEC-000135,2025-07-01,SKU-00015,Store,STR-05,64.9,76.4,45.8,64.9,System Auto-Replenishment,False,,Auto-approved
DEC-000136,2025-07-01,SKU-00006,Store,STR-05,40.0,43.4,26.1,40.0,System Auto-Replenishment,False,,Auto-approved
DEC-000137,2025-07-01,SKU-00011,Store,STR-06,16.0,19.4,11.6,16.0,System Auto-Replenishment,False,,Auto-approved
DEC-000138,2025-07-01,SKU-00015,Store,STR-06,26.0,37.1,22.3,26.0,System Auto-Replenishment,False,,Auto-approved
DEC-000139,2025-07-01,SKU-00017,Store,STR-06,55.2,78.4,47.1,55.2,System Auto-Replenishment,False,,Auto-approved
DEC-000140,2025-07-01,SKU-00021,Store,STR-06,12.0,15.7,9.4,12.0,System Auto-Replenishment,False,,Auto-approved
DEC-000141,2025-07-01,SKU-00002,Store,STR-06,39.5,56.2,33.7,39.5,System Auto-Replenishment,False,,Auto-approved
DEC-000142,2025-07-01,SKU-00016,Store,STR-07,25.1,29.0,17.4,25.1,System Auto-Replenishment,False,,Auto-approved
DEC-000143,2025-07-01,SKU-00010,Store,STR-07,25.0,34.5,20.7,25.0,System Auto-Replenishment,False,,Auto-approved
DEC-000144,2025-07-01,SKU-00007,Store,STR-07,67.6,86.7,52.0,67.6,System Auto-Replenishment,False,,Auto-approved
DEC-000145,2025-07-01,SKU-00018,Store,STR-07,70.4,82.1,49.2,70.4,System Auto-Replenishment,False,,Auto-approved
DEC-000146,2025-07-01,SKU-00014,Store,STR-08,26.0,32.2,19.3,26.0,System Auto-Replenishment,False,,Auto-approved
DEC-000147,2025-07-01,SKU-00011,Store,STR-08,7.3,10.2,6.1,7.3,System Auto-Replenishment,False,,Auto-approved
DEC-000148,2025-07-02,SKU-00009,Store,STR-01,44.0,58.8,35.3,44.0,System Auto-Replenishment,False,,Auto-approved
DEC-000149,2025-07-02,SKU-00018,Store,STR-01,89.6,107.7,64.6,89.6,System Auto-Replenishment,False,,Auto-approved
DEC-000150,2025-07-02,SKU-00022,Store,STR-01,34.8,42.0,25.2,34.8,System Auto-Replenishment,False,,Auto-approved
DEC-000151,2025-07-02,SKU-00011,Store,STR-01,14.0,15.8,9.5,14.0,System Auto-Replenishment,False,,Auto-approved
DEC-000152,2025-07-02,SKU-00015,Store,STR-02,66.0,75.0,45.0,66.0,System Auto-Replenishment,False,,Auto-approved
DEC-000153,2025-07-02,SKU-00011,Store,STR-02,15.0,18.1,10.8,15.0,System Auto-Replenishment,False,,Auto-approved
DEC-000154,2025-07-02,SKU-00019,Store,STR-02,53.0,69.7,41.8,53.0,System Auto-Replenishment,False,,Auto-approved
DEC-000155,2025-07-02,SKU-00024,Store,STR-02,43.0,58.9,35.3,43.0,System Auto-Replenishment,False,,Auto-approved
DEC-000156,2025-07-02,SKU-00019,Store,STR-03,83.0,112.1,67.3,83.0,System Auto-Replenishment,False,,Auto-approved
DEC-000157,2025-07-02,SKU-00008,Store,STR-03,103.0,123.4,74.0,103.0,System Auto-Replenishment,False,,Auto-approved
DEC-000158,2025-07-02,SKU-00004,Store,STR-03,23.0,27.8,16.7,23.0,System Auto-Replenishment,False,,Auto-approved
DEC-000159,2025-07-02,SKU-00005,Store,STR-03,15.0,20.2,12.1,15.0,System Auto-Replenishment,False,,Auto-approved
DEC-000160,2025-07-02,SKU-00020,Store,STR-03,35.4,41.9,25.1,35.4,System Auto-Replenishment,False,,Auto-approved
DEC-000161,2025-07-02,SKU-00010,Store,STR-03,28.0,34.3,20.6,28.0,System Auto-Replenishment,False,,Auto-approved
DEC-000162,2025-07-02,SKU-00014,Store,STR-04,31.0,35.3,21.2,31.0,System Auto-Replenishment,False,,Auto-approved
DEC-000163,2025-07-02,SKU-00021,Store,Multiple,34.0,21.4,12.8,34.0,System Auto-Replenishment,False,,Auto-approved
DEC-000164,2025-07-02,SKU-00010,Store,STR-04,21.0,29.3,17.6,21.0,System Auto-Replenishment,False,,Auto-approved
DEC-000165,2025-07-02,SKU-00005,Store,Multiple,19.0,13.8,8.3,19.0,System Auto-Replenishment,False,,Auto-approved
DEC-000166,2025-07-02,SKU-00021,Store,STR-05,23.0,29.8,17.9,23.0,System Auto-Replenishment,False,,Auto-approved
DEC-000167,2025-07-02,SKU-00016,Store,STR-05,18.0,22.6,13.5,18.0,System Auto-Replenishment,False,,Auto-approved
DEC-000168,2025-07-02,SKU-00005,Store,STR-06,13.0,13.7,8.2,13.0,System Auto-Replenishment,False,,Auto-approved
DEC-000169,2025-07-02,SKU-00020,Store,STR-06,15.0,21.2,12.7,15.0,System Auto-Replenishment,False,,Auto-approved
DEC-000170,2025-07-02,SKU-00003,Store,STR-06,42.0,59.2,35.5,42.0,System Auto-Replenishment,False,,Auto-approved
DEC-000171,2025-07-02,SKU-00014,Store,STR-07,37.0,48.2,28.9,37.0,System Auto-Replenishment,False,,Auto-approved
DEC-000172,2025-07-02,SKU-00022,Store,STR-07,27.0,34.9,21.0,27.0,System Auto-Replenishment,False,,Auto-approved
DEC-000173,2025-07-02,SKU-00012,Store,STR-07,40.0,49.1,29.5,40.0,System Auto-Replenishment,False,,Auto-approved
DEC-000174,2025-07-02,SKU-00021,Store,STR-07,16.0,22.8,13.7,16.0,System Auto-Replenishment,False,,Auto-approved
DEC-000175,2025-07-02,SKU-00006,Store,STR-07,34.0,46.3,27.8,34.0,System Auto-Replenishment,False,,Auto-approved
DEC-000176,2025-07-02,SKU-00009,Store,STR-08,24.0,29.0,17.4,24.0,System Auto-Replenishment,False,,Auto-approved
DEC-000177,2025-07-02,SKU-00019,Store,STR-08,19.0,22.9,13.8,19.0,System Auto-Replenishment,False,,Auto-approved
DEC-000178,2025-07-02,SKU-00017,Store,STR-08,35.7,41.4,24.8,35.7,System Auto-Replenishment,False,,Auto-approved
DEC-000179,2025-07-02,SKU-00004,Store,STR-08,6.9,7.3,4.4,6.9,System Auto-Replenishment,False,,Auto-approved
DEC-000180,2025-07-02,SKU-00012,Store,STR-08,13.2,16.2,9.7,13.2,System Auto-Replenishment,False,,Auto-approved
DEC-000181,2025-07-02,SKU-00015,Store,STR-08,26.0,36.2,21.7,26.0,System Auto-Replenishment,False,,Auto-approved
DEC-000182,2025-07-03,SKU-00003,Store,Multiple,99.0,51.8,31.1,99.0,System Auto-Replenishment,False,,Auto-approved
DEC-000183,2025-07-03,SKU-00004,Store,STR-01,47.0,59.9,36.0,47.0,System Auto-Replenishment,False,,Auto-approved
DEC-000184,2025-07-03,SKU-00015,Store,STR-01,84.0,96.6,57.9,84.0,System Auto-Replenishment,False,,Auto-approved
DEC-000185,2025-07-03,SKU-00021,Store,STR-01,15.0,18.2,10.9,15.0,System Auto-Replenishment,False,,Auto-approved
DEC-000186,2025-07-03,SKU-00014,Store,STR-01,51.0,70.7,42.4,51.0,System Auto-Replenishment,False,,Auto-approved
DEC-000187,2025-07-03,SKU-00019,Store,STR-01,63.0,86.6,52.0,63.0,System Auto-Replenishment,False,,Auto-approved
DEC-000188,2025-07-03,SKU-00010,Store,Multiple,46.0,24.2,14.5,46.0,System Auto-Replenishment,False,,Auto-approved
DEC-000189,2025-07-03,SKU-00018,Store,STR-02,63.0,83.0,49.8,63.0,System Auto-Replenishment,False,,Auto-approved
DEC-000190,2025-07-03,SKU-00009,Store,STR-02,73.0,95.8,57.5,73.0,System Auto-Replenishment,False,,Auto-approved
DEC-000191,2025-07-03,SKU-00006,Store,Multiple,60.0,38.5,23.1,60.0,System Auto-Replenishment,False,,Auto-approved
DEC-000192,2025-07-03,SKU-00016,Store,STR-03,37.0,50.0,30.0,37.0,System Auto-Replenishment,False,,Auto-approved
DEC-000193,2025-07-03,SKU-00015,Store,STR-03,56.0,59.6,35.7,56.0,System Auto-Replenishment,False,,Auto-approved
DEC-000194,2025-07-03,SKU-00009,Store,STR-03,43.0,59.5,35.7,43.0,System Auto-Replenishment,False,,Auto-approved
DEC-000195,2025-07-03,SKU-00023,Store,STR-03,44.0,58.9,35.4,44.0,System Auto-Replenishment,False,,Auto-approved
DEC-000196,2025-07-03,SKU-00002,Store,STR-03,53.0,62.1,37.3,53.0,System Auto-Replenishment,False,,Auto-approved
DEC-000197,2025-07-03,SKU-00007,Store,STR-03,73.3,95.1,57.1,73.3,System Auto-Replenishment,False,,Auto-approved
DEC-000198,2025-07-03,SKU-00011,Store,STR-03,22.8,28.6,17.2,22.8,System Auto-Replenishment,False,,Auto-approved
DEC-000199,2025-07-03,SKU-00003,Store,STR-04,32.0,43.5,26.1,32.0,System Auto-Replenishment,False,,Auto-approved
DEC-000200,2025-07-03,SKU-00012,Store,STR-04,18.0,19.0,11.4,18.0,System Auto-Replenishment,False,,Auto-approved
DEC-000201,2025-07-03,SKU-00016,Store,STR-04,15.0,16.6,10.0,15.0,System Auto-Replenishment,False,,Auto-approved
DEC-000202,2025-07-03,SKU-00005,Store,STR-05,16.0,20.6,12.4,16.0,System Auto-Replenishment,False,,Auto-approved
DEC-000203,2025-07-03,SKU-00024,Store,STR-05,68.0,81.3,48.8,68.0,System Auto-Replenishment,False,,Auto-approved
DEC-000204,2025-07-03,SKU-00019,Store,STR-06,29.0,41.1,24.7,29.0,System Auto-Replenishment,False,,Auto-approved
DEC-000205,2025-07-03,SKU-00004,Store,STR-07,19.0,24.8,14.9,19.0,System Auto-Replenishment,False,,Auto-approved
DEC-000206,2025-07-03,SKU-00010,Store,STR-08,11.0,15.4,9.2,11.0,System Auto-Replenishment,False,,Auto-approved
DEC-000207,2025-07-03,SKU-00002,Store,STR-08,17.0,21.7,13.0,17.0,System Auto-Replenishment,False,,Auto-approved
DEC-000208,2025-07-04,SKU-00020,Store,STR-02,35.0,47.9,28.7,35.0,System Auto-Replenishment,False,,Auto-approved
DEC-000209,2025-07-04,SKU-00002,Store,STR-02,99.0,119.1,71.5,99.0,System Auto-Replenishment,False,,Auto-approved
DEC-000210,2025-07-04,SKU-00003,Store,STR-02,73.0,82.3,49.4,73.0,System Auto-Replenishment,False,,Auto-approved
